X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
-19.0208,64.9631000000001,79,Iceland,2021/04/25 02:20:41+00,64.9631,-19.0208,6390,29,6227,134
78.96288,20.5936840000001,80,India,2021/04/25 02:20:41+00,20.593684,78.96288,16610481,189544,13867997,2552940
113.9213,-0.7893,81,Indonesia,2021/04/25 02:20:41+00,-0.7893,113.9213,1636792,44500,1492322,99970
53.688046,32.4279080000001,82,Iran,2021/04/25 02:20:41+00,32.427908,53.688046,2377039,69120,1863405,444514
43.679291,33.223191,83,Iraq,2021/04/25 02:20:41+00,33.223191,43.679291,1025288,15217,897966,112105
-7.69209999999993,53.1424000000001,84,Ireland,2021/04/25 02:20:41+00,53.1424,-7.6921,246204,4872,23364,217968
34.851612,31.046051,85,Israel,2021/04/25 02:20:41+00,31.046051,34.851612,837974,6350,829811,1813
12.5674000000001,41.8719,86,Italy,2021/04/25 02:20:41+00,41.8719,12.5674,3949517,119021,3369048,461448
-77.2975,18.1096000000001,87,Jamaica,2021/04/25 02:20:41+00,18.1096,-77.2975,44867,756,20391,23720
138.252924,36.204824,88,Japan,2021/04/25 02:20:41+00,36.204824,138.252924,563977,9888,498086,56003
36.51,31.2400000000001,89,Jordan,2021/04/25 02:20:41+00,31.24,36.51,700423,8563,664772,27088
66.9237000000001,48.0196,90,Kazakhstan,2021/04/25 02:20:41+00,48.0196,66.9237,355918,3304,310933,41681
37.9062000000001,-0.0236,91,Kenya,2021/04/25 02:20:41+00,-0.0236,37.9062,156318,2603,106093,47622
127.766922,35.9077570000001,92,"Korea, South",2021/04/25 02:20:41+00,35.907757,127.766922,118887,1813,108475,8599
20.9029770000001,42.6026360000001,93,Kosovo,2021/04/25 02:20:41+00,42.602636,20.902977,102720,2115,89432,11173
47.4817660000001,29.3116600000001,94,Kuwait,2021/04/25 02:20:41+00,29.31166,47.481766,265404,1511,248633,15260
74.7660980000001,41.2043800000001,95,Kyrgyzstan,2021/04/25 02:20:41+00,41.20438,74.766098,93603,1578,87880,4145
102.495496,19.8562700000001,96,Laos,2021/04/25 02:20:41+00,19.85627,102.495496,247,0,49,198
24.6032000000001,56.8796,97,Latvia,2021/04/25 02:20:41+00,56.8796,24.6032,114955,2101,103953,8901
35.8623000000001,33.8547,98,Lebanon,2021/04/25 02:20:41+00,33.8547,35.8623,519615,7118,445163,67334
28.2336,-29.61,99,Lesotho,2021/04/25 02:20:41+00,-29.61,28.2336,10723,316,6267,4140
-9.42949899999996,6.42805500000003,100,Liberia,2021/04/25 02:20:41+00,6.428055,-9.429499,2097,85,1940,72
17.228331,26.3351000000001,101,Libya,2021/04/25 02:20:41+00,26.3351,17.228331,174752,2947,160113,11692
9.55000000000007,47.14,102,Liechtenstein,2021/04/25 02:20:41+00,47.14,9.55,2866,57,2724,85
23.8813000000001,55.1694000000001,103,Lithuania,2021/04/25 02:20:41+00,55.1694,23.8813,240522,3841,217779,18902
6.12960000000004,49.8153,104,Luxembourg,2021/04/25 02:20:41+00,49.8153,6.1296,66007,790,62183,3034
,,105,MS Zaandam,2021/04/25 02:20:41+00,,,9,2,7,0
46.869107,-18.766947,106,Madagascar,2021/04/25 02:20:41+00,-18.766947,46.869107,35262,593,28132,6537
34.3015,-13.2542999999999,107,Malawi,2021/04/25 02:20:41+00,-13.2543,34.3015,34011,1147,31899,965
101.975766,4.21048400000007,108,Malaysia,2021/04/25 02:20:41+00,4.210484,101.975766,390252,1426,365900,22926
73.2207000000001,3.20280000000002,109,Maldives,2021/04/25 02:20:41+00,3.2028,73.2207,27621,71,24234,3316
-3.99616599999996,17.5706920000001,110,Mali,2021/04/25 02:20:41+00,17.570692,-3.996166,13560,462,7989,5109
14.3754000000001,35.9375000000001,111,Malta,2021/04/25 02:20:41+00,35.9375,14.3754,30149,412,29261,476
171.1845,7.13150000000007,112,Marshall Islands,2021/04/25 02:20:41+00,7.1315,171.1845,4,0,4,0
-10.9408,21.0079000000001,113,Mauritania,2021/04/25 02:20:41+00,21.0079,-10.9408,18240,454,17570,216
57.552152,-20.348404,114,Mauritius,2021/04/25 02:20:41+00,-20.348404,57.552152,1206,16,1029,161
-102.5528,23.6345000000001,115,Mexico,2021/04/25 02:20:41+00,23.6345,-102.5528,2326818,214841,1848177,263708
150.5508,7.42560000000003,116,Micronesia,2021/04/25 02:20:41+00,7.4256,150.5508,1,0,1,0
28.3699,47.4116000000001,117,Moldova,2021/04/25 02:20:41+00,47.4116,28.3699,248898,5709,236774,6415
7.41670000000005,43.7333,118,Monaco,2021/04/25 02:20:41+00,43.7333,7.4167,2429,31,2327,71
103.8467,46.8625000000001,119,Mongolia,2021/04/25 02:20:41+00,46.8625,103.8467,29219,74,14745,14400
19.3743900000001,42.7086780000001,120,Montenegro,2021/04/25 02:20:41+00,42.708678,19.37439,96499,1463,92377,2659
-7.09259999999995,31.7917,121,Morocco,2021/04/25 02:20:41+00,31.7917,-7.0926,509037,8988,494872,5177
35.5295620000001,-18.665695,122,Mozambique,2021/04/25 02:20:41+00,-18.665695,35.529562,69643,807,62452,6384
18.4904,-22.9576,123,Namibia,2021/04/25 02:20:41+00,-22.9576,18.4904,47671,624,45334,1713
84.2500000000001,28.1667,124,Nepal,2021/04/25 02:20:41+00,28.1667,84.25,297087,3136,277123,16828
5.55000000000007,52.3167,125,Netherlands,2021/04/25 02:20:41+00,52.3167,5.55,1478144,17269,22970,1437905
